name,lat,lon,town
Chiesa di San Pantaleone,46.0898140,11.0482707,Terlago
Chiesa dell'Immacolata e dei Santi Fabiano e Sebastiano,46.0046870,10.8417047,Fiave
Chiesa di Sant'Antonio abate,46.0078498,10.8491115,Fiave
Chiesa di San Vigilio,45.8704518,10.7730670,Molina di Ledro
Chiesa di Fontanafredda,45.2917982,11.6598759,Fontanafredda
Nativita della Beata Vergine Maria,45.3208352,11.6520389,Vo
Chiesa di Valnogaredo,45.2996852,11.6609403,Fontanafredda
Chiesa di Cinto Euganeo,45.2768155,11.6611578,Fontanafredda
Chiesa di Santa Maria Assunta,45.4796760,10.2009571,Folzano
chiesa della Santissima Annunziata,46.0678615,11.1216748,Trento
Chiesa Sant'Antonio Abate,46.0281803,10.8273587,Bleggio Superiore
Santuario Madonna delle Grazie,45.9135503,11.1883951,Folgaria
chiesa di San Zeno,46.0329308,10.7385708,Bolbeno
Chiesa della Conversione di San Paolo,45.4834077,10.1753164,Flero
"Santuario ""Monte della Madonna""",45.3585775,11.6551043,Bastia
Oratorio di Sant'Antonio Abate,45.3529335,11.6584321,Vo
Chiesa di San Biagio,45.3309139,11.6871673,Treponti
Chiesa di Sant'Antonio Abate,46.0919033,10.7300115,Pelugo
Chiesa di San Zeno,46.0885776,10.7250031,Pelugo
Chiesa di San Martino,45.7682393,11.0007651,Ala
Chiesa di San Lorenzo,45.7392052,11.0668704,Ala
Chiesa di Santa Maria Assunta,45.7557056,11.0067396,Ala
Chiesa di San Giovanni,45.7566783,11.0045185,Ala
Chiesetta di San Giuseppe,45.7195873,11.4590512,Zane
Chiesa di San Benedetto,45.5990209,10.5157251,Salo
Maria Ausiliatrice,45.7946790,11.1058194,Vallarsa
Chiesa di San Giovanni,45.5961663,10.5373250,Salo
Chiesa di San Fermo,45.5889957,10.5735073,San Felice del Benaco
Chiesa di San Biagio,45.2525454,11.5459780,Saletto
Chiesa di Santa Croce,45.2568712,11.5812318,Lozzo Atestino
Chiesa del Cuore Immacolato di Maria,45.2933446,11.5786500,Lozzo Atestino
San Martino,45.9452401,11.0277618,Pomarolo
"Oratorio della Beta Vergine ""Alla Croce""",45.3601623,11.6912089,Treponti
Santa Maria Annunziata,45.3549925,11.6861439,Treponti
Santa Margherita,46.0683880,11.1185366,Trento
Nativita di Maria,45.8171051,10.9696700,Brentonico
Chiesa di Santa Maria in Silva,45.5323610,10.2093809,Brescia
San Rocco,45.7820521,11.1169676,Vallarsa
Abbazia di Praglia,45.3638833,11.7352891,San Biagio
Santa Maria Madre della Chiesa,45.3689177,11.7159873,Treponti
Monastero San Daniele,45.3448418,11.7653362,Montegrotto Terme
Chiesa Santa Chiara D' Assisi,46.0612255,11.0815376,Cadine
Chiesa di San Michele,45.3875372,10.6950772,Monzambano
Parrocchia Beato Andrea,45.4340319,10.6830121,Peschiera del Garda
chiesa della Beata Maria Vergine della Neve,46.0418047,11.3094176,Levico Terme
Santuario Cristo della Strada,45.6094913,10.8517261,Dolce
Chiesa di Santa Maria Assunta,45.7119847,10.3396229,Mura
Chiesa della Madonna della Neve,45.6980624,10.5608123,Capovalle
Chiesa di Santa Maria della Neve,45.4160136,10.1517522,Bagnolo Mella
Santuario della Madonna di Roane,45.7166065,10.5051149,Crone
Ex Chiesa di San Pietro,45.7383660,10.7230778,Gardola
Chiesa di San Lorenzo,45.7416186,10.7189805,Gardola
Chiesa di San Rocco,45.7353167,10.7192595,Gardola
Chiesa di San Marco,45.7261242,10.7091440,Gardola
Chiesa di San Giuseppe,46.0023426,11.2241010,Bosentino-Migazzone
San Valentino,46.0075099,11.1566704,Mattarello
Chiesa dei Santi Fabiano e Sebastiano,46.0798800,11.2624810,Pergine Valsugana
chiesa dei Santi Cosma e Damiano,46.0818005,11.1021738,Trento
Chiesa di Santa Maria dell'Assunta,45.5934629,10.1540488,Piazza
Chiesa di Cristo Sacerdote,45.5895984,10.2378898,Bovezzo
Chiesa della Trasfigurazione,45.3302198,10.2338680,Castelletto
Chiesa di Santa Maria Assunta,45.6354240,11.3772933,Monte di Malo
Chiesa Madonna del Rosario,45.2537185,11.6424252,Este
Chiesa di San Vincenzo,45.4550451,10.4130189,Calcinato
Chiesa della Santissima Trinita,45.8701013,10.7722301,Molina di Ledro
Chiesa di San Rocco,46.0000684,10.8402250,Fiave
Chiesa dei Santi Pietro e Paolo,45.8886085,10.6706588,Prezzo
Chiesetta di Croce,45.8631862,10.6579624,Cimego
San Giacomo Maggiore Apostolo,46.0165163,11.6326655,Grigno
Chiesa di San Bernardino da Siena,45.5294030,10.1498175,Roncadelle
Chiesa di San Lorenzo,45.7827842,10.7627417,Pieve
Chiesa di San Giovanni Battista,45.7705052,10.7599421,Pieve
Sant'Agata,45.8695272,10.9613639,Ronzo-Chienis
chiesa di San Giovanni Battista,46.0436545,11.2260222,Pergine Valsugana
Chiesa di Collicello,45.9109433,11.7183384,Cismon del Grappa
Chiesa S. Valentino,45.9143229,11.6853699,Enego
Chiesa Sacro Cuore,45.9151111,11.6751358,Enego
Chiesa di San Giuseppe Operaio,45.9426101,11.7140551,Enego
Santo Stefano,45.8797378,11.6782450,Valstagna
Nostra Signora di Pedancino,45.9313981,11.7336256,Cismon del Grappa
Sacrario Militare,45.9583024,11.6791714,Enego
Santa Margherita,46.0337645,11.3926922,Roncegno
Chiesa di Sant'Agostino,46.0225428,11.3663496,Novaledo
Chiesetta Almici,45.7584049,10.1622729,Zone
S. Uldarico,46.0892215,11.2972110,Frassilongo
Madonna dell'Onda,45.8543837,11.6654007,Valstagna
Chiesetta della Madonna del Buso,45.8885813,11.6036598,Foza
Chiesa San Giovanni Battista,45.8788440,11.6125603,Foza
Madonna del Buso,45.8885006,11.6034905,Foza
Chiesa di Santa Maria Annunziata,45.6927233,11.4295698,Marano Vicentino
Chiesetta della Campanella,45.8914008,11.5799680,Gallio
San Sisto,45.8535990,11.5189524,Asiago
Chiesetta di S. Rocco,45.8729395,11.5102295,Asiago
San Nicolo,45.5049323,10.7319272,Lazise
Chiesa di Santa Maria Maggiore,45.4932498,10.6081376,Sirmione
Duomo di San Matteo,45.8754854,11.5074648,Asiago
Chiesa di Sant'Antonino Martire,45.6070942,10.2205693,Concesio
San Marco Evangelista,45.8651913,11.4738068,Canove di Roana
Chiesa della Madonna dello Spasimo,45.2978724,10.2076213,Pavone del Mella
Chiesetta del Crocefisso,45.6444116,11.0911932,Velo Veronese
Chiesa di Santa Maria Maddalena,45.4714737,10.5391319,Desenzano del Garda
Chiesa di San Paterio,46.0781303,10.2904928,Paisco Loveno
Chiesa di San Bartolomeo,45.3651559,11.7623765,Abano Terme
Chiesa Parrocchiale,45.2898552,10.2703884,Gottolengo
Chiesetta degli Alpini,45.8949058,10.3487752,Prestine
Chiesa dei Santi Pietro e Paolo,45.3668809,10.2192733,Leno
Chiesa di Sant'Antonio da Padova,45.5539721,10.4005426,Paitone
Santuario della Beata Vergine della Consolazione,45.9302926,10.3086365,Prestine
Chiesa di San Lazzaro,45.4151022,11.9163556,Cadoneghe
Chiesa di Granze,45.3799982,11.9396644,Ponte San Nicolo
Associazione culturale Talea Teatro,45.3875593,11.9407005,Villatora
San Nicolo,45.3658669,11.9370119,Ponte San Nicolo
San Basilio Magno,45.3728370,11.9182552,Ponte San Nicolo
San Fidenzio,45.3444639,11.9374321,Ponte San Nicolo
Chiesa vecchia di Salboro,45.3592857,11.8909869,Albignasego
Oratorio di San Michele,45.3526903,11.8997744,Albignasego
Chiesa Santa Maria Assunta,45.3598108,11.8910358,Albignasego
San Tommaso,45.3495899,11.8649840,Albignasego
San Giacomo,45.3636937,11.8424109,Mandriola-Sant'Agostino
Chiesa di Mandria,45.3698770,11.8410130,Mandriola-Sant'Agostino
Santa Maria Anunziata,45.3588577,11.8684825,Mandriola-Sant'Agostino
Abbazia di Santa Giustina,45.3961719,11.8796116,Padova
Sant'Alberto Magno,45.3968795,11.8680943,Padova
Parrocchia San Paolo,45.3904926,11.8961035,Padova
Chiesa della Madonna Pellegrina,45.3886705,11.8797878,Padova
Chiesa dei Santi Pietro e Paolo,45.3785869,11.9025363,Ponte San Nicolo
Parrocchia di Santa Teresa di Gesu Bambino,45.3823910,11.8731307,Mandriola-Sant'Agostino
San Martino Vescovo,45.3900958,11.8367340,Mandriola-Sant'Agostino
Santi Fabiano e Sebastiano,45.3963924,11.8329112,Caselle
Chiesa di Santa Croce,45.3930645,11.8710649,Padova
Chiesa Santa Maria Assunta,45.3850685,11.8652507,Mandriola-Sant'Agostino
San Leopoldo Mandic,45.3928710,11.8699555,Padova
Santa Rita,45.3942568,11.8872211,Padova
San Prosdocimo,45.4066540,11.8648435,Padova
Chiesa del Torresino,45.4004143,11.8720632,Padova
Chiesa di San Benedetto Vecchio,45.4096222,11.8669821,Padova
Chiesa Cattolica Parrocchiale Nativita,45.4172406,11.8628665,Padova
Chiesa di San Luca Evangelista,45.4032664,11.8731736,Padova
Chiesa di San Nicolo,45.4087178,11.8725626,Padova
Chiesa delle Dimesse,45.3999319,11.8698282,Padova
San Tomaso Becket,45.4031063,11.8691092,Padova
Chiesa di San Benedetto Novello,45.4084596,11.8672302,Padova
Chiesa di Santa Maria in Vanzo,45.4011230,11.8729539,Padova
San Girolamo,45.4093383,11.8594070,Padova
Chiesa di San Pietro,45.4087088,11.8687841,Padova
Chiesa della Sacra Famiglia,45.3991662,11.8629401,Padova
Chiesa di Sant'Agnese,45.4101781,11.8731652,Padova
Chiesa del Beato Antonio Pellegrino,45.4141911,11.8717552,Padova
Duomo di Padova,45.4065164,11.8712598,Padova
Santa Maria Assunta,45.4147093,11.8362915,Caselle
Chiesa di Sant'Antonio di Vienna,45.4118343,11.8680401,Padova
Chiesa di Sant'Ignazio da Loyola,45.4231637,11.8532850,Padova
San Giuseppe,45.4046905,11.8592098,Padova
Chiesa di San Canziano,45.4063837,11.8762816,Padova
Chiesa di San Gaetano,45.4083962,11.8819728,Padova
San Prosdocimo,45.4001007,11.8858449,Padova
Chiesa di San Francesco,45.4048509,11.8805876,Padova
Chiesa di Santa Maria dei Servi,45.4045792,11.8756493,Padova
Chiesa di San Daniele,45.4010470,11.8762088,Padova
Santuario dell'Arcella,45.4216060,11.8865061,Padova
Chiesa di Santa Margherita,45.4053690,11.8807031,Padova
Chiesa di Santa Caterina,45.4042820,11.8840931,Padova
Chiesa di Maria Vergine,45.4126356,11.8780286,Padova
Cappella degli Scrovegni,45.4118604,11.8794911,Padova
Santa Sofia,45.4073067,11.8848026,Padova
Chiesa di San Fermo,45.4111919,11.8751025,Padova
Chiesa di Ognissanti,45.4070179,11.8964114,Padova
Chiesa di Sant'Andrea,45.4084421,11.8769720,Padova
Chiesa della Beata Vergine Maria Immacolata,45.4074662,11.8895213,Padova
Basilica del Carmine,45.4131962,11.8741070,Padova
Chiesa di San Gregorio Magno,45.4058499,11.9114986,Padova
San Pio X,45.4135348,11.9034901,Padova
Santa Lucia,45.4087542,11.8753404,Padova
Chiesa di San Clemente,45.4075958,11.8741678,Padova
Oratorio San Rocco,45.4089180,11.8750757,Padova
Chiesa del Buon Pastore,45.4241969,11.8793032,Padova
Chiesa San Giovanni Battista,45.4456853,11.8941833,Vigodarzere
Chiesa di San Bellino,45.4323064,11.8796528,Padova
San Carlo,45.4285663,11.8901287,Padova
Santo Stefano Re d'Ungheria,45.3999935,11.8287570,Caselle
Chiesa di San Maurizio,45.9543020,10.3067179,Breno
Chiesa di San Salvatore,45.9552889,10.3022871,Breno
Auditorium San Barnaba e San Lodovico Pavoni,45.5356936,10.2262209,Brescia
San Barnaba apostolo,45.8243787,11.2728452,Laghi
Chiesa di San Giorgio,45.5478742,10.5710524,Solarolo
Chiesa di San Zenone,45.5455596,10.4144195,Prevalle
Chiesetta degli Alpini,45.5916252,10.4970984,San Giacomo
Chiesa di San Giacomo,45.5927451,10.4730215,San Giacomo
Chiesa di San Rocco,45.5891195,10.4620074,Villanuova sul Clisi
Santa Margherita,45.6246426,11.8177631,Tombolo
Sant'Antonio,45.6845412,10.7504766,Brenzone
Duomo - San Lorenzo,45.3603754,11.7905814,Abano Terme
Chiesetta di Sant'Anna,45.8604307,10.7091466,Pieve di Ledro
Chiesa della Misericordia,45.5526673,11.5420939,Vicenza
Ex chiesa di San Biagio,45.5505256,11.5432700,Vicenza
Chiesa di Sant'Andrea Apostolo,45.5506683,11.5621241,Vicenza
Oratorio dei Boccalotti,45.5492005,11.5525280,Vicenza
Parrocchia di San Giovanni Battista,45.5730443,11.5448255,Vicenza
Chiesa dei Santi Apostoli,45.4407353,10.9923724,Verona
Cattedrale di Santa Maria Matricolare,45.4472377,10.9970148,Verona
Chiesa di San Luca Evangelista,45.4374488,10.9908351,Verona
Santi Angeli Custodi,45.4336035,10.9724998,Verona
Parrocchia di san Nicola Taumaturgo,45.4440104,10.9943485,Verona
Chiesa di San Giovanni in Foro,45.4429854,10.9953023,Verona
San Pietro apostolo,45.4473957,10.9872645,Verona
San Domenico Savio,45.4431344,10.9597765,Verona
Santa Maria Regina,45.4486327,10.9721539,Verona
San Bernardino,45.4387955,10.9812336,Verona
Chiesa di Santa Maria della Scala,45.4410974,10.9968726,Verona
Chiesa di San Tomio,45.4419295,10.9975303,Verona
Chiesa di San Nicolo,45.4396878,10.9953581,Verona
Chiesa degli Scalzi,45.4369715,10.9847695,Verona
Chiesa della Santissima Trinita in Monte Oliveto,45.4334965,10.9931110,Verona
Chiesa di San Giorgio in Braida,45.4488819,10.9959346,Verona
Tempio votivo,45.4308477,10.9816710,Verona
Chiesa di San Zeno in Oratorio,45.4396528,10.9859022,Verona
Chiesa di Sant'Eufemia,45.4433001,10.9938185,Verona
San Francesco d'Assisi,45.4434349,10.9891865,Verona
Chiesa di San Lorenzo,45.4412531,10.9912069,Verona
Chiesa delle Stimate,45.4351394,10.9931285,Verona
Chiesa Valdese,45.4461541,10.9977241,Verona
Chiesa di San Procolo,45.4420390,10.9790875,Verona
Santa Maria Immacolata,45.4406306,10.9678144,Verona
Gesu Divino Lavoratore,45.4108118,10.9931914,Verona
Santuario di Santa Teresa di Gesu Bambino,45.4183244,10.9865567,Verona
Madonna della Fraternita,45.4131440,10.9625848,Verona
Chiesa di San Giuliano,45.5484083,11.5573939,Vicenza
Oratorio delle Zitelle,45.5417501,11.5515946,Vicenza
Chiesa di San Lorenzo,45.5488133,11.5418095,Vicenza
Chiesa di San Pietro,45.5490405,11.5529483,Vicenza
Cattedrale di Santa Maria Annunciata,45.5463315,11.5439304,Vicenza
Chiesa di San Giorgio in Gogna,45.5391073,11.5372801,Vicenza
Chiesa di San Silvestro,45.5414575,11.5482025,Vicenza
Oratorio di San Nicola,45.5457888,11.5485672,Vicenza
Chiesa di Santa Maria Nova,45.5482918,11.5374884,Vicenza
Chiesa Santi Felice e Fortunato,45.5440813,11.5330670,Vicenza
Chiesa di Santa Caterina in Porto,45.5379111,11.5567123,Vicenza
Chiesa di San Pancrazio Al Porto,45.4331303,11.0200904,Verona
Santa Toscana,45.4400635,11.0139112,Poiano
Chiesa dei Padri Filippini,45.4369494,10.9995032,Verona
San Michele Arcangelo,45.4353818,11.0401201,Montorio
San Pio X,45.4453065,11.0172690,Poiano
Chiesa di Sant'Anastasia,45.4453105,11.0000326,Verona
San Giuseppe fuori le mura,45.4417055,11.0196120,Poiano
San Giorgetto,45.4451368,10.9992543,Verona
San Nazaro e Celso,45.4412698,11.0087757,Verona
San Paolo,45.4389268,11.0043727,Verona
San Benedetto Valdonega,45.4548788,11.0020106,Poiano
Santa Croce,45.4494853,11.0259063,Poiano
S.S. Apostoli Pietro e Paolo,45.4743077,11.0134387,Poiano
San Giuseppe in Santa Maria Assunta,45.4600840,11.0651525,Montorio
San Rocco,45.4657711,10.9704234,Parona
Sacro Cuore di Gesu,45.4565132,10.9825974,Verona
Eremo di San Rocchetto,45.4686281,10.9702828,Parona
Camaldola,45.4735009,10.9906387,Poiano
Spirito Santo,45.4501577,10.9781457,Verona
Santa Maria Ausiliatrice,45.4594256,10.9786721,Verona
Santuario Nostra Signora di Lourdes,45.4546087,10.9945358,Verona
Chiesa San Bernardo,45.4724754,10.9896650,Poiano
San Pietro Martire,45.4493143,10.9978517,Verona
Santa Maria Maddalena,45.4531852,10.9650731,Verona
Parrocchia di San Rocco in Castiglione,45.4141424,11.0539626,San Giovanni Lupatoto
Monastero Di Clausura Serve di Maria Oblate Sacerdotali,45.4195627,11.0064893,Verona
chiesa della Nativita di Maria,46.0536678,11.4595225,Borgo
Chiesa di Santa Maria Maddalena,45.5696451,11.4992113,Crispi Cavour
Santa Bertilla,45.5511484,11.5245486,Vicenza
Santa Anna,46.0533640,11.4571122,Borgo
San Francesco,46.0545279,11.4577981,Borgo
Chiesa di Santa Maria Antica,45.4434830,10.9989207,Verona
San'Antonio da Padova,46.0407864,11.4645621,Borgo
Chiesa di Montegaldella,45.4354280,11.6746471,Montegaldella
Chiesa di San Marco,45.4475968,11.6708061,Montegalda
Chiesa di Santa Giustina,45.4480603,11.6764063,Montegalda
Chiesa di Sant'Agostino,45.5168306,11.5118102,Creazzo
Sant'Antonio Abate,45.4579898,10.9464429,Parona
Oratorio di Beata Vergine del Carmine,45.4817695,11.6152133,Longare
Ognissanti,45.4457618,10.9407394,Parona
Chiesa di San Massimo,45.4388489,10.9453472,Parona
Parrocchia di San Clemente,45.5468097,10.9946891,Stallavena-Lugo
Chiesa di Alcenago,45.5478903,10.9959879,Stallavena-Lugo
Chiesa di San Biagio,45.5023098,11.4912137,Altavilla Vicentina
Chiesa di S.Urbano Papa e Martire,45.5106379,11.4697284,Altavilla Vicentina
SS. Redentore E San Urbano Papa,45.5107806,11.4625628,Altavilla Vicentina
Santa Maria della neve,45.4442272,11.0780331,Montorio
Chiesa parrocchiale Beato Carlo Steeb,45.4337393,11.0537108,Montorio
San Giovanni Evangelista,45.4182380,10.9562915,Verona
Santuario Madonna della Salute,45.4056760,10.9294383,Dossobuono
Santa Lucia,45.4221703,10.9518732,Verona
Duomo di Costabissara,45.5827836,11.4840854,Costabissara
Duomo di Costabissara,45.5829835,11.4840115,Costabissara
Duomo di Costabissara,45.5831462,11.4838538,Costabissara
Duomo di Costabissara,45.5829141,11.4838943,Costabissara
Oratorio di San Valentino,45.5785378,11.4781659,Costabissara
Oratorio di Sant'Apollonia,45.5827911,11.4818570,Costabissara
